Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Pivot,R1,S1,R2,S2
15-Jan-2020,12349.4,12355.15,12278.75,12343.3,684352965,17882.51,12348.42,12388.14,12322.59,12413.97,12282.87
16-Jan-2020,12347.1,12389.05,12315.8,12355.5,395670245,16004.06,12325.73,12372.71,12296.31,12402.13,12249.33
17-Jan-2020,12328.4,12385.45,12321.4,12352.35,502060615,21397.63,12353.45,12391.1,12317.85,12426.7,12280.2
20-Jan-2020,12430.5,12430.5,12216.9,12224.55,491609317,21415.43,12353.07,12384.74,12320.69,12417.12,12289.02
21-Jan-2020,12195.3,12230.05,12162.3,12169.85,443976442,18682.65,12290.65,12364.4,12150.8,12504.25,12077.05
22-Jan-2020,12218.35,12225.05,12087.9,12106.9,526294513,19758.68,12187.4,12212.5,12144.75,12255.15,12119.65
23-Jan-2020,12123.75,12189.0,12094.1,12180.35,867653663,23829.39,12139.95,12192.0,12054.85,12277.1,12002.8
24-Jan-2020,12174.55,12272.15,12149.65,12248.25,593237908,18032.27,12154.48,12214.86,12119.96,12249.38,12059.58
27-Jan-2020,12197.1,12216.6,12107.0,12119.0,441158138,17988.61,12223.35,12297.05,12174.55,12345.85,12100.85
28-Jan-2020,12148.1,12163.55,12024.5,12055.8,478484057,20917.62,12147.53,12188.06,12078.46,12257.13,12037.93
29-Jan-2020,12114.9,12169.6,12103.8,12129.5,514362340,20646.18,12081.28,12138.06,11999.01,12220.33,11942.23
30-Jan-2020,12147.75,12150.3,12010.6,12035.8,538138743,19372.67,12134.3,12164.8,12099.0,12200.1,12068.5
31-Jan-2020,12100.4,12103.55,11945.85,11962.1,771278258,26044.91,12065.57,12120.54,11980.84,12205.27,11925.87
01-Feb-2020,11939.0,12017.35,11633.3,11661.85,537634767,20598.12,12003.83,12061.81,11904.11,12161.53,11846.13
03-Feb-2020,11627.45,11749.85,11614.5,11707.9,669815788,25415.26,11770.83,11908.36,11524.31,12154.88,11386.78
04-Feb-2020,11786.25,11986.15,11783.4,11979.65,560430291,22338.5,11690.75,11767.0,11631.65,11826.1,11555.4
05-Feb-2020,12005.85,12098.15,11953.35,12089.15,758032580,22998.05,11916.4,12049.4,11846.65,12119.15,11713.65
06-Feb-2020,12120.0,12160.6,12084.65,12137.95,565116236,21735.92,12046.88,12140.41,11995.61,12191.68,11902.08
07-Feb-2020,12151.15,12154.7,12073.95,12098.35,473475144,16339.61,12127.73,12170.81,12094.86,12203.68,12051.78
10-Feb-2020,12102.35,12103.55,11990.75,12031.5,525674715,17185.14,12109.0,12144.05,12063.3,12189.75,12028.25
11-Feb-2020,12108.4,12172.3,12099.0,12107.9,480491557,16209.52,12041.93,12093.11,11980.31,12154.73,11929.13
12-Feb-2020,12151.0,12231.75,12144.3,12201.2,412399174,16598.33,12126.4,12153.8,12080.5,12199.7,12053.1
13-Feb-2020,12219.55,12225.65,12139.8,12174.65,501510138,16315.27,12192.42,12240.54,12153.09,12279.87,12104.97
14-Feb-2020,12190.15,12246.7,12091.2,12113.45,623053270,20759.51,12180.03,12220.26,12134.41,12265.88,12094.18
17-Feb-2020,12131.8,12159.6,12037.0,12045.8,455412408,15439.55,12150.45,12209.7,12054.2,12305.95,11994.95
18-Feb-2020,12028.25,12030.75,11908.05,11992.5,677307424,18853.0,12080.8,12124.6,12002.0,12203.4,11958.2
19-Feb-2020,12090.6,12134.7,12042.1,12125.9,514030605,17610.89,11977.1,12046.15,11923.45,12099.8,11854.4
20-Feb-2020,12119.0,12152.0,12071.45,12080.85,502875583,18831.51,12100.9,12159.7,12067.1,12193.5,12008.3
24-Feb-2020,12012.55,12012.55,11813.4,11829.4,491224913,19421.04,12101.43,12131.41,12050.86,12181.98,12020.88
25-Feb-2020,11877.5,11883.05,11779.9,11797.9,461349973,18510.82,11885.12,11956.84,11757.69,12084.27,11685.97
26-Feb-2020,11738.55,11783.25,11639.6,11678.5,567990976,21887.07,11820.28,11860.66,11757.51,11923.43,11717.13
27-Feb-2020,11661.25,11663.85,11536.7,11633.3,609266324,21623.47,11700.45,11761.3,11617.65,11844.1,11556.8
28-Feb-2020,11382.0,11384.8,11175.05,11201.75,810523106,32297.15,11611.28,11685.86,11558.71,11738.43,11484.13
02-Mar-2020,11387.35,11433.0,11036.25,11132.75,681148567,24204.55,11253.87,11332.69,11122.94,11463.62,11044.12
03-Mar-2020,11217.55,11342.25,11152.55,11303.3,696919348,23281.2,11200.67,11365.09,10968.34,11597.42,10803.92
04-Mar-2020,11351.35,11356.6,11082.15,11251.0,798021596,26928.46,11266.03,11379.51,11189.81,11455.73,11076.33
05-Mar-2020,11306.05,11389.5,11244.6,11269.0,1353209029,26980.65,11229.92,11377.69,11103.24,11504.37,10955.47
06-Mar-2020,10942.65,11035.1,10827.4,10989.45,1811564187,26455.29,11301.03,11357.46,11212.56,11445.93,11156.13
09-Mar-2020,10742.05,10751.55,10294.45,10451.45,1566119057,35151.79,10950.65,11073.9,10866.2,11158.35,10742.95
11-Mar-2020,10334.3,10545.1,10334.0,10458.4,1219079693,32548.47,10499.15,10703.85,10246.75,10956.25,10042.05
12-Mar-2020,10039.95,10040.75,9508.0,9590.15,1344263317,39283.97,10445.83,10557.66,10346.56,10656.93,10234.73
